x_m	y_m	psi_m	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway	psi_ref_filter	x_ref_filter	y_ref_filter
1487,719030	-495,112039	0,399328	0,240617	-0,000949	0,001679	3584087420,392222	-0,002096	-0,002436	-0,000317	-0,000840	0,002828	0,001278	0,000000	1488,945416	-497,008896
1487,554255	-494,981304	0,389643	0,232620	-0,001083	0,001760	3584087420,402230	-0,002140	-0,002393	-0,000315	-0,000812	0,002874	0,001262	0,000000	1488,967157	-497,006304
1487,554255	-494,981304	0,389643	0,227798	-0,001172	0,001807	3584087420,412219	-0,002182	-0,002349	-0,000312	-0,000795	0,002903	0,001253	0,000000	1488,988918	-497,003657
1487,427808	-494,860262	0,381197	0,221060	-0,001300	0,001886	3584087420,422222	-0,002223	-0,002305	-0,000310	-0,000772	0,002947	0,001238	0,000000	1489,010696	-497,000955
1487,427808	-494,860262	0,381197	0,216998	-0,001386	0,001933	3584087420,432219	-0,002264	-0,002261	-0,000306	-0,000757	0,002975	0,001229	0,000000	1489,032490	-496,998199
1487,382156	-494,680977	0,375350	0,211210	-0,001496	0,002008	3584087420,442222	-0,002304	-0,002218	-0,000303	-0,000737	0,003012	0,001215	0,000000	1489,054299	-496,995389
1487,382156	-494,680977	0,375350	0,207722	-0,001572	0,002052	3584087420,452220	-0,002343	-0,002175	-0,000299	-0,000725	0,003037	0,001206	0,000000	1489,076120	-496,992525
1487,357172	-494,503759	0,372296	0,203309	-0,001644	0,002149	3584087420,462221	-0,002381	-0,002132	-0,000295	-0,000710	0,003060	0,001188	0,000000	1489,097954	-496,989609
1487,357172	-494,503759	0,372296	0,200653	-0,001697	0,002206	3584087420,472222	-0,002418	-0,002089	-0,000291	-0,000700	0,003077	0,001177	0,000000	1489,119796	-496,986639
1487,357172	-494,503759	0,372296	0,197848	-0,001747	0,002309	3584087420,482215	-0,002454	-0,002046	-0,000286	-0,000691	0,003092	0,001157	0,000000	1489,141647	-496,983617
1487,360658	-494,389105	0,370426	0,196162	-0,001786	0,002371	3584087420,492223	-0,002489	-0,002003	-0,000281	-0,000685	0,003104	0,001145	0,000000	1489,163503	-496,980543
1487,424835	-494,211539	0,369009	0,195153	-0,001818	0,002406	3584087420,502223	-0,002524	-0,001961	-0,000276	-0,000681	0,003113	0,001139	0,000000	1489,185363	-496,977418
1487,424835	-494,211539	0,369009	0,193812	-0,001845	0,002472	3584087420,512223	-0,002557	-0,001919	-0,000271	-0,000677	0,003121	0,001126	0,000000	1489,207225	-496,974241
1487,535349	-494,061573	0,370020	0,192450	-0,001844	0,002581	3584087420,522224	-0,002589	-0,001877	-0,000266	-0,000672	0,003118	0,001105	0,000000	1489,229087	-496,971012
1487,535349	-494,061573	0,370020	0,191636	-0,001852	0,002645	3584087420,532222	-0,002620	-0,001836	-0,000260	-0,000669	0,003119	0,001093	0,000000	1489,250946	-496,967733
1487,636759	-493,963417	0,371007	0,191554	-0,001822	0,002742	3584087420,542224	-0,002650	-0,001795	-0,000254	-0,000669	0,003107	0,001074	0,000000	1489,272800	-496,964404
1487,636759	-493,963417	0,371007	0,191513	-0,001813	0,002799	3584087420,552223	-0,002679	-0,001754	-0,000249	-0,000669	0,003101	0,001063	0,000000	1489,294647	-496,961024
1487,820853	-493,845265	0,374474	0,191888	-0,001775	0,002871	3584087420,562224	-0,002707	-0,001713	-0,000243	-0,000670	0,003086	0,001049	0,000000	1489,316485	-496,957594
1487,820853	-493,845265	0,374474	0,192124	-0,001761	0,002913	3584087420,572223	-0,002734	-0,001673	-0,000236	-0,000671	0,003079	0,001042	0,000000	1489,338311	-496,954114
1488,045722	-493,758419	0,376922	0,193648	-0,001689	0,002984	3584087420,582223	-0,002760	-0,001633	-0,000230	-0,000676	0,003052	0,001028	0,000000	1489,360124	-496,950584
1488,045722	-493,758419	0,376922	0,194578	-0,001654	0,003025	3584087420,592224	-0,002785	-0,001593	-0,000224	-0,000679	0,003038	0,001020	0,000000	1489,381919	-496,947005
1488,285155	-493,671766	0,379071	0,196118	-0,001552	0,003083	3584087420,602225	-0,002809	-0,001554	-0,000218	-0,000685	0,003000	0,001010	0,000000	1489,403696	-496,943377
1488,285155	-493,671766	0,379071	0,197058	-0,001499	0,003116	3584087420,612224	-0,002832	-0,001515	-0,000211	-0,000688	0,002979	0,001004	0,000000	1489,425451	-496,939700
1488,564626	-493,588795	0,383963	0,198485	-0,001381	0,003169	3584087420,622225	-0,002854	-0,001476	-0,000205	-0,000693	0,002936	0,000994	0,000000	1489,447183	-496,935974
1488,564626	-493,588795	0,383963	0,199357	-0,001318	0,003200	3584087420,632224	-0,002875	-0,001438	-0,000198	-0,000696	0,002912	0,000988	0,000000	1489,468888	-496,932198
1488,878160	-493,533462	0,386641	0,201829	-0,001178	0,003250	3584087420,642226	-0,002895	-0,001400	-0,000192	-0,000705	0,002861	0,000979	0,000000	1489,490564	-496,928375
1488,878160	-493,533462	0,386641	0,203332	-0,001102	0,003278	3584087420,652225	-0,002913	-0,001363	-0,000185	-0,000710	0,002832	0,000974	0,000000	1489,512208	-496,924502
1489,244962	-493,479271	0,391152	0,205309	-0,000941	0,003316	3584087420,662238	-0,002931	-0,001326	-0,000179	-0,000717	0,002774	0,000967	0,000000	1489,533818	-496,920581
1489,244962	-493,479271	0,391152	0,206513	-0,000851	0,003337	3584087420,672225	-0,002948	-0,001289	-0,000172	-0,000721	0,002740	0,000964	0,000000	1489,555391	-496,916611
1489,632907	-493,448689	0,393786	0,209035	-0,000661	0,003369	3584087420,682224	-0,002964	-0,001253	-0,000165	-0,000730	0,002672	0,000958	0,000000	1489,576925	-496,912593
